dataset,hidden_size,k_top,aux_loss,test_loss,dead_neurons,dead_neuron_pct,active_features,mean_activation_freq
mnist,128,10,No,0.4270593002438545,103,80.46875,25,0.07812253
mnist,128,10,Yes,0.8683896899223328,98,76.5625,30,0.077229686
olivetti,256,10,No,0.45262964566548664,219,85.546875,37,0.0390625
olivetti,256,10,Yes,0.8966170946756998,226,88.28125,30,0.0390625
olivetti,512,10,No,0.435616801182429,460,89.84375,52,0.01953125
olivetti,512,10,Yes,0.8789158463478088,472,92.1875,40,0.01953125
olivetti,1024,10,No,0.43785326679547626,969,94.62890625,55,0.009765625
olivetti,1024,10,Yes,0.8810493548711141,983,95.99609375,41,0.009765625
lfw,512,10,No,0.44983550906181335,480,93.75,32,0.01953125
lfw,512,10,Yes,0.9364784240722657,487,95.1171875,25,0.019371316
lfw,1024,10,No,0.45295044481754304,980,95.703125,44,0.009765625
lfw,1024,10,Yes,0.9462226927280426,984,96.09375,40,0.009693736
lfw,2048,10,No,0.6560575902462006,1949,95.166015625,99,0.0048828125
lfw,2048,10,Yes,0.9377596437931061,1951,95.263671875,97,0.0048828125
